"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","62","86","52","14","21","52","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"04:00","64","87","52","15","21","52","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"05:00","64","87","52","15","22","52","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"06:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","66","90","52","13","23","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"10:00","67","90","52","13","23","54","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"11:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12:00","68","92","52","13","24","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"13:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14:00","69","94","52","13","26","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"15:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","65","92","52","13","27","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"18:00","66","91","52","12","27","51","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"19:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"21:00","64","77","51","11","25","34","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"22:00","63","72","51","11","25","31","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"23:00","61","72","51","11","25","29","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
