"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","61","94","41","13","36","35","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","62","94","40","13","36","35","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","62","93","40","13","36","35","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","62","92","40","13","36","34","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","62","91","40","13","36","34","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","62","90","39","13","36","34","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","62","89","39","13","36","33","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","61","89","39","13","36","33","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","61","89","39","13","36","34","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","60","89","39","12","35","34","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","60","89","39","12","35","34","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","59","89","39","12","36","35","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","59","90","39","12","36","35","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","59","93","39","12","35","35","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","60","94","39","12","34","34","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","60","94","39","12","33","34","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","60","94","39","12","32","34","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","61","94","39","12","30","33","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","61","95","39","12","28","33","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","61","94","39","12","27","31","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","61","92","39","11","26","31","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
