"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"04:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"05:00","28","66","25","19","16","39","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","27","66","25","19","16","39","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","27","65","25","19","16","39","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","26","64","25","19","16","39","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","26","63","25","19","16","39","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12:00","23","60","25","19","16","39","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"21:00","28","67","24","16","17","42","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","29","68","24","15","17","43","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","30","69","24","14","17","43","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
