"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-",58.2289055973267,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"01:00","-",57.5684001670844,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"02:00","-",56.8922305764411,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"03:00","-",56.2617481203008,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"04:00","-",55.6892230576441,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"05:00","-",55.1282720690616,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"06:00","-",54.5590165890918,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"07:00","-",54.0276472431078,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"08:00","-",53.5673674928061,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"09:00","-",53.1547619047619,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"10:00","-",52.8091060985798,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"11:00","-",52.4801587301587,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"12:00","-",52.1447850395219,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"13:00","-",51.8159237379162,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"14:00","-",51.4870509607352,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"15:00","-",51.1705696532999,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"16:00","-",50.8778072632562,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"17:00","-",50.6126427179059,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"18:00","-",50.3718177021501,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"19:00","-",50.1495927318296,"-","-","-","-","-","Sedang","-","-","-","-","pm25","Sedang"
"20:00","-",49.8547107014849,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"21:00","-",49.3969941348974,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"22:00","-",49.025829827022,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
"23:00","-",48.7247983870968,"-","-","-","-","-","Baik","-","-","-","-","pm25","Baik"
