tanggal,ISPU PM2.5,kategori_pm25,bulan,hari_minggu,temp,humidity,visibility,windgust,solarenergy,precip,cloudcover,tempmax,feelslike,uvindex,precipprob,tempmin,sealevelpressure,winddir_sin,winddir_cos,pm25_std,pm25_max,n_obs,station_bundaran hi,station_jagakarsa,station_kebun jeruk,station_kelapa gading,station_lubang buaya,station_us embassy 1,station_us embassy 2
2022-01-13,49.916666666666664,Baik,1,3,27.1,85.4,6.2,27.4,11.3,0.752,56.2,30.8,30.2,6,100,24.0,1011.0,-0.7615383075367371,0.6481199010631304,0.9962049198956232,51.0,12,1,0,0,0,0,0,0
2022-01-14,46.916666666666664,Baik,1,4,26.8,86.9,5.7,28.8,19.4,13.302,58.5,29.0,29.5,8,100,24.0,1010.8,-0.8161375900801604,0.5778576243835051,4.440686542607681,51.0,12,1,0,0,0,0,0,0
2022-01-15,52.75,Sedang,1,5,26.9,87.1,5.8,30.2,14.5,3.657,65.4,29.0,29.7,6,100,24.0,1010.7,-0.9225380894562464,0.38590604232431863,0.4522670168666455,53.0,12,1,0,0,0,0,0,0
2022-01-18,51.06666666666667,Sedang,1,1,26.1,91.9,5.1,40.7,13.8,163.023,73.0,28.2,27.4,5,100,24.0,1009.5,-0.8131007610470274,0.5821229701572896,14.169719559008652,57.0,15,1,0,0,0,0,0,0
2022-01-19,39.6875,Baik,1,2,27.0,85.5,5.9,55.4,20.2,53.715,71.4,30.6,29.4,8,100,24.0,1008.7,-0.9163627295622396,0.4003490325568949,12.18588664535057,52.0,16,1,0,0,0,0,0,0
2022-01-20,48.63157894736842,Baik,1,3,25.8,86.8,6.2,31.3,7.2,0.154,58.5,29.8,26.6,4,100,24.0,1009.6,-0.9342044743210293,-0.35673799931962574,6.001949001188318,56.0,19,1,0,0,0,0,0,0
2022-01-21,42.38461538461539,Baik,1,4,27.4,81.8,6.3,33.5,20.6,0.511,54.0,31.0,30.2,8,100,24.0,1009.3,-0.9588197348681932,0.2840153447039223,6.958669191955956,55.0,13,1,0,0,0,0,0,0
2022-01-22,48.84615384615385,Baik,1,5,27.2,84.8,5.9,21.2,8.4,8.921,57.2,30.8,29.9,6,100,24.0,1009.5,-0.9912155402515417,0.13225639025712288,9.29915904662131,58.0,13,1,0,0,0,0,0,0
2022-01-23,51.25,Sedang,1,6,29.0,75.9,6.5,27.7,20.6,0.0,46.6,33.3,32.8,8,0,25.0,1008.5,-0.9907478404714436,0.1357155724343046,2.206052281036579,54.0,16,1,0,0,0,0,0,0
2022-01-26,48.416666666666664,Baik,1,2,27.3,86.7,6.3,28.4,16.1,0.753,60.1,30.0,29.9,7,100,24.8,1008.7,-0.9879598657693892,0.15471038629946715,2.678477631835372,50.0,12,1,0,0,0,0,0,0
