name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"JAKARTA OBSERVATORY, ID",1/1/2022,90.1,77,83.5,99.7,77,89.5,75.3,77.5,0.019,100,4.17,rain,0,0,23,13.4,262.2,1009.6,50.9,4.2,249.2,20.6,9,,2022-01-01T05:41:58,2022-01-01T18:10:18,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"JAKARTA OBSERVATORY, ID",1/2/2022,90.9,77,82.6,99.9,77,88,75.1,79.3,0,0,0,,0,0,19,13.9,266.1,1009.2,49.8,4.3,220.2,19,7,,2022-01-02T05:42:29,2022-01-02T18:10:44,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",1/3/2022,93.7,74.7,83.8,101.4,74.7,88.7,73.2,72.4,0,0,0,,0,0,11.4,13,289,1008.9,43.1,4.1,283.9,24.5,9,,2022-01-03T05:42:59,2022-01-03T18:11:08,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"JAKARTA OBSERVATORY, ID",1/4/2022,90.9,75.2,83,99.3,75.2,89,74.1,75.4,0,0,0,,0,0,11.2,11.2,329.5,1009.9,43.4,3.9,291.8,25.1,10,,2022-01-04T05:43:30,2022-01-04T18:11:32,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",1/5/2022,90.9,77,83.9,102,77,90.7,75.5,77.3,1.102,100,4.17,rain,0,0,12.1,8.9,335.5,1009.8,47.8,3.4,255.1,22.1,8,,2022-01-05T05:44:00,2022-01-05T18:11:56,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",1/6/2022,89.6,77,81.7,103.3,77,87,77.2,87,0.529,100,16.67,rain,0,0,17,11.2,308.8,1010.5,61.5,3.2,226.3,19.5,8,,2022-01-06T05:44:31,2022-01-06T18:12:19,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",1/7/2022,93.7,75.7,82.6,103.8,75.7,86.6,74.8,79.2,0.014,100,12.5,rain,0,0,19.2,10.9,245.9,1010.8,53.4,3.8,233.4,20.1,8,,2022-01-07T05:45:01,2022-01-07T18:12:41,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",1/8/2022,90.1,75.7,83.2,100.9,75.7,89,75.7,79.4,0,0,0,,0,0,14.8,12.8,295.5,1009.9,52.1,3.7,266.6,23.1,9,,2022-01-08T05:45:30,2022-01-08T18:13:02,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",1/9/2022,89.6,77.5,83.9,100.8,77.5,91.2,76,78.1,0,0,0,,0,0,19,17.9,286,1009.2,53.5,3.9,218.9,18.9,8,,2022-01-09T05:46:00,2022-01-09T18:13:23,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",1/10/2022,88.5,77.5,82.3,101,77.5,88.4,76.2,82.5,0.438,100,8.33,rain,0,0,19,12.5,295.9,1009.2,55.6,3.9,235.5,20.2,8,,2022-01-10T05:46:29,2022-01-10T18:13:43,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
