Waktu,ISPU PM10,ISPU PM2.5,ISPU SO2,ISPU CO,ISPU O3,ISPU NO2,Status By PM10,Status By PM2.5,Status By SO2,Status By CO,Status By O3,Status By NO2,Critical Parameter,Overall ISPU Status,datetime
00:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T00:00:00Z
01:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T01:00:00Z
02:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T02:00:00Z
03:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T03:00:00Z
04:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T04:00:00Z
05:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T05:00:00Z
06:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T06:00:00Z
07:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T07:00:00Z
08:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T08:00:00Z
09:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T09:00:00Z
10:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T10:00:00Z
11:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T11:00:00Z
12:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T12:00:00Z
13:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T13:00:00Z
14:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T14:00:00Z
15:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T15:00:00Z
16:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T16:00:00Z
17:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T17:00:00Z
18:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T18:00:00Z
19:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T19:00:00Z
20:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T20:00:00Z
21:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T21:00:00Z
22:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T22:00:00Z
23:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-01-01T23:00:00Z
