station,minggu,RMSE
bundaran hi,2024-07-22/2024-07-28,7.431682461404285
bundaran hi,2024-07-29/2024-08-04,10.925023023147936
bundaran hi,2024-08-05/2024-08-11,5.6453588855668
bundaran hi,2024-08-12/2024-08-18,6.338994231763009
bundaran hi,2024-08-19/2024-08-25,6.848430184330338
bundaran hi,2024-08-26/2024-09-01,10.498544387734546
bundaran hi,2024-09-02/2024-09-08,5.873484223203291
bundaran hi,2024-09-09/2024-09-15,5.883678363351474
bundaran hi,2024-09-16/2024-09-22,7.016851348925342
bundaran hi,2024-09-23/2024-09-29,5.062289610055619
bundaran hi,2024-09-30/2024-10-06,7.8135211713453465
bundaran hi,2024-10-07/2024-10-13,11.468840431648934
bundaran hi,2024-10-14/2024-10-20,28.375291913255936
bundaran hi,2024-10-21/2024-10-27,23.52328665496168
bundaran hi,2024-10-28/2024-11-03,7.270352168272379
bundaran hi,2024-11-04/2024-11-10,9.564850310938095
bundaran hi,2024-11-11/2024-11-17,14.371042324125153
bundaran hi,2024-11-18/2024-11-24,13.22177820922694
bundaran hi,2024-11-25/2024-12-01,18.24473618763232
bundaran hi,2024-12-02/2024-12-08,13.465008973116907
bundaran hi,2024-12-09/2024-12-15,14.178229393728486
bundaran hi,2024-12-16/2024-12-22,8.589949288887185
bundaran hi,2024-12-23/2024-12-29,7.886093335546004
bundaran hi,2024-12-30/2025-01-05,13.461616361512414
jagakarsa,2024-07-22/2024-07-28,5.323520898319187
jagakarsa,2024-07-29/2024-08-04,7.622309296110181
jagakarsa,2024-08-05/2024-08-11,6.417298639577342
jagakarsa,2024-08-12/2024-08-18,8.967591982578703
jagakarsa,2024-08-19/2024-08-25,7.021734719125531
jagakarsa,2024-08-26/2024-09-01,6.80828582765474
jagakarsa,2024-09-02/2024-09-08,5.137397355196345
jagakarsa,2024-09-09/2024-09-15,19.464184937278887
jagakarsa,2024-09-16/2024-09-22,9.403913738734001
jagakarsa,2024-09-23/2024-09-29,6.200989333810493
jagakarsa,2024-09-30/2024-10-06,7.465484159367329
jagakarsa,2024-10-07/2024-10-13,14.808838593621529
jagakarsa,2024-10-14/2024-10-20,7.452050434015042
jagakarsa,2024-10-21/2024-10-27,5.9204349457591405
jagakarsa,2024-10-28/2024-11-03,5.21420386047748
jagakarsa,2024-11-04/2024-11-10,9.633351044667974
jagakarsa,2024-11-11/2024-11-17,10.876337277194704
jagakarsa,2024-11-18/2024-11-24,13.664848379057245
jagakarsa,2024-11-25/2024-12-01,19.34893513636921
jagakarsa,2024-12-02/2024-12-08,10.837875051053746
jagakarsa,2024-12-09/2024-12-15,16.079739139017523
jagakarsa,2024-12-16/2024-12-22,11.558912432241662
jagakarsa,2024-12-23/2024-12-29,8.227910380247677
jagakarsa,2024-12-30/2025-01-05,9.4565274022035
kebun jeruk,2024-07-22/2024-07-28,6.418476544128348
kebun jeruk,2024-07-29/2024-08-04,9.67664909299694
kebun jeruk,2024-08-05/2024-08-11,11.866818770950484
kebun jeruk,2024-08-12/2024-08-18,11.170479840479935
kebun jeruk,2024-08-19/2024-08-25,10.236919306864944
kebun jeruk,2024-08-26/2024-09-01,16.497552356222826
kebun jeruk,2024-09-02/2024-09-08,3.8315177405273393
kebun jeruk,2024-09-09/2024-09-15,6.131454002693059
kebun jeruk,2024-09-16/2024-09-22,8.879504156984058
kebun jeruk,2024-09-23/2024-09-29,8.032485459892497
kebun jeruk,2024-09-30/2024-10-06,7.430663620078297
kebun jeruk,2024-10-07/2024-10-13,13.779988742216686
kebun jeruk,2024-10-14/2024-10-20,10.004393722548105
kebun jeruk,2024-10-21/2024-10-27,8.698116666681566
kebun jeruk,2024-10-28/2024-11-03,7.023393927289101
kebun jeruk,2024-11-04/2024-11-10,20.767657432864446
kebun jeruk,2024-11-11/2024-11-17,29.70986082333261
kebun jeruk,2024-11-18/2024-11-24,33.79922139664479
kebun jeruk,2024-11-25/2024-12-01,19.095029123620797
kebun jeruk,2024-12-02/2024-12-08,14.41151135060186
kebun jeruk,2024-12-09/2024-12-15,9.755494141944274
kebun jeruk,2024-12-16/2024-12-22,7.674331750900365
kebun jeruk,2024-12-23/2024-12-29,8.003371614365461
kebun jeruk,2024-12-30/2025-01-05,12.13128890223376
kelapa gading,2024-07-22/2024-07-28,15.46739569350189
kelapa gading,2024-07-29/2024-08-04,9.075303305586637
kelapa gading,2024-08-05/2024-08-11,12.312854506599717
kelapa gading,2024-08-12/2024-08-18,6.820854384877798
kelapa gading,2024-08-19/2024-08-25,9.318796190547566
kelapa gading,2024-08-26/2024-09-01,8.504670791385442
kelapa gading,2024-09-02/2024-09-08,7.969243840531683
kelapa gading,2024-09-09/2024-09-15,5.395588372022566
kelapa gading,2024-09-16/2024-09-22,23.528157639439183
kelapa gading,2024-09-23/2024-09-29,6.664506269902116
kelapa gading,2024-09-30/2024-10-06,5.416239462867072
kelapa gading,2024-10-07/2024-10-13,11.292828415748057
kelapa gading,2024-10-14/2024-10-20,9.028341344006225
kelapa gading,2024-10-21/2024-10-27,8.862694771087689
kelapa gading,2024-10-28/2024-11-03,4.684813364461221
kelapa gading,2024-11-04/2024-11-10,8.449092779381488
kelapa gading,2024-11-11/2024-11-17,16.42571201038761
kelapa gading,2024-11-18/2024-11-24,10.682643999577877
kelapa gading,2024-11-25/2024-12-01,10.67404721294327
kelapa gading,2024-12-02/2024-12-08,12.77314268642481
kelapa gading,2024-12-09/2024-12-15,13.633894797256753
kelapa gading,2024-12-16/2024-12-22,9.739202437720424
kelapa gading,2024-12-23/2024-12-29,7.441958611536225
kelapa gading,2024-12-30/2025-01-05,13.045911573064311
lubang buaya,2024-07-22/2024-07-28,5.703052863851873
lubang buaya,2024-07-29/2024-08-04,14.125787052509441
lubang buaya,2024-08-05/2024-08-11,7.598712194585607
lubang buaya,2024-08-12/2024-08-18,7.08576744309923
lubang buaya,2024-08-19/2024-08-25,6.7741486958440875
lubang buaya,2024-08-26/2024-09-01,16.66464918520601
lubang buaya,2024-09-02/2024-09-08,32.4540649282672
lubang buaya,2024-09-09/2024-09-15,12.45215414114211
lubang buaya,2024-09-16/2024-09-22,13.861483690299487
lubang buaya,2024-09-23/2024-09-29,13.43007516389367
lubang buaya,2024-09-30/2024-10-06,25.91927459723562
lubang buaya,2024-10-07/2024-10-13,13.091398986920522
lubang buaya,2024-10-14/2024-10-20,11.384925214654187
lubang buaya,2024-10-21/2024-10-27,9.81485521603965
lubang buaya,2024-10-28/2024-11-03,6.73601191438711
lubang buaya,2024-11-04/2024-11-10,13.261005172478361
lubang buaya,2024-11-11/2024-11-17,8.276640807446705
lubang buaya,2024-11-18/2024-11-24,14.9995883972876
lubang buaya,2024-11-25/2024-12-01,10.962926812162937
lubang buaya,2024-12-02/2024-12-08,13.398743020008917
lubang buaya,2024-12-09/2024-12-15,16.13945709261172
lubang buaya,2024-12-16/2024-12-22,10.6595844601474
lubang buaya,2024-12-23/2024-12-29,11.990919283833959
lubang buaya,2024-12-30/2025-01-05,16.5625255346348
us embassy 1,2024-07-22/2024-07-28,6.6157646568475
us embassy 1,2024-07-29/2024-08-04,17.844889191362896
us embassy 1,2024-08-05/2024-08-11,11.02483231634092
us embassy 1,2024-08-12/2024-08-18,5.350000830478793
us embassy 1,2024-08-19/2024-08-25,7.795201997773298
us embassy 1,2024-08-26/2024-09-01,14.726200421071718
us embassy 1,2024-09-02/2024-09-08,9.362112065455857
us embassy 1,2024-09-09/2024-09-15,5.533901351950595
us embassy 1,2024-09-16/2024-09-22,6.9644105220298504
us embassy 1,2024-09-23/2024-09-29,6.800077099887026
us embassy 1,2024-09-30/2024-10-06,5.465937141977843
us embassy 1,2024-10-07/2024-10-13,9.808669606594746
us embassy 1,2024-10-14/2024-10-20,13.05145981589809
us embassy 1,2024-10-21/2024-10-27,10.983976398967156
us embassy 1,2024-10-28/2024-11-03,5.175078748683844
us embassy 1,2024-11-04/2024-11-10,9.223641109560207
us embassy 1,2024-11-11/2024-11-17,17.604124922764438
us embassy 1,2024-11-18/2024-11-24,12.662748593574964
us embassy 1,2024-11-25/2024-12-01,7.841493846808753
us embassy 1,2024-12-02/2024-12-08,14.137818366874217
us embassy 1,2024-12-09/2024-12-15,11.64484666482311
us embassy 1,2024-12-16/2024-12-22,12.342351495176223
us embassy 1,2024-12-23/2024-12-29,5.968963948098832
us embassy 1,2024-12-30/2025-01-05,10.389449508285749
us embassy 2,2024-07-22/2024-07-28,7.519957321297113
us embassy 2,2024-07-29/2024-08-04,9.134143824128177
us embassy 2,2024-08-05/2024-08-11,13.1830326850168
us embassy 2,2024-08-12/2024-08-18,9.41804780129604
us embassy 2,2024-08-19/2024-08-25,23.94175511336617
us embassy 2,2024-08-26/2024-09-01,15.808861841170295
us embassy 2,2024-09-02/2024-09-08,13.305453594558356
us embassy 2,2024-09-09/2024-09-15,5.704453232196758
us embassy 2,2024-09-16/2024-09-22,11.00319056148463
us embassy 2,2024-09-23/2024-09-29,6.117392611632257
us embassy 2,2024-09-30/2024-10-06,5.677417715994786
us embassy 2,2024-10-07/2024-10-13,12.545963267802687
us embassy 2,2024-10-14/2024-10-20,24.148757158975826
us embassy 2,2024-10-21/2024-10-27,7.275797844988434
us embassy 2,2024-10-28/2024-11-03,7.407002168714746
us embassy 2,2024-11-04/2024-11-10,9.263761795241011
us embassy 2,2024-11-11/2024-11-17,22.42858831437238
us embassy 2,2024-11-18/2024-11-24,16.08865734631847
us embassy 2,2024-11-25/2024-12-01,7.287430840221384
us embassy 2,2024-12-02/2024-12-08,13.286039651654118
us embassy 2,2024-12-09/2024-12-15,15.439001983107879
us embassy 2,2024-12-16/2024-12-22,7.02579084952172
us embassy 2,2024-12-23/2024-12-29,9.87208094446728
us embassy 2,2024-12-30/2025-01-05,16.20940856580737
