feature,importance
pm25_lag_1,0.387164
pm25_roll_3_mean,0.171082
pm25_roll_7_mean,0.100257
pm25_roll_14_mean,0.057705
pm25_lag_2,0.032246
windgust_lag_1,0.022401
pm25_lag_7,0.019725
pm25_lag_14,0.018661
visibility,0.017155
windgust,0.016756
humidity,0.016494
pm25_roll_3_std,0.01556
pm25_roll_7_std,0.014017
humidity_lag_1,0.013241
pm25_roll_14_std,0.012658
temp,0.01251
solarenergy,0.012496
precip_lag_1,0.010728
visibility_lag_1,0.009773
temp_lag_1,0.007897
precip,0.007297
bulan,0.005152
bulan_sin,0.004227
bulan_cos,0.00389
hari_minggu,0.003481
hari_minggu_sin,0.002713
hari_minggu_cos,0.0022
musim_hujan,0.001053
musim_kemarau,0.00099
is_weekend,0.000471
