trial,units,dropout,learning_rate,val_MAE,val_RMSE,val_R2,val_MAPE,epoch_terbaik,jumlah_epoch,waktu_detik,keterangan
3,32,0.3,0.001,9.059,12.2503,0.525,14.6232,22,28,9.5,<== TERBAIK Grid Search
4,32,0.3,0.0005,9.2074,12.4277,0.5111,14.8418,35,40,13.5,
7,64,0.3,0.001,9.4539,12.5553,0.501,15.0111,13,19,9.3,
8,64,0.3,0.0005,9.4574,12.5795,0.4991,14.9477,19,25,11.4,
12,128,0.3,0.0005,9.3891,12.6513,0.4934,15.0038,19,25,17.2,
1,32,0.1,0.001,9.4668,12.6853,0.4906,15.2421,17,23,8.0,
11,128,0.3,0.001,9.4638,12.7655,0.4842,14.9434,10,16,11.8,
6,64,0.1,0.0005,9.6382,12.8029,0.4812,15.1576,10,16,8.7,
2,32,0.1,0.0005,9.6051,12.833,0.4787,15.4977,40,40,13.2,
5,64,0.1,0.001,9.657,12.8387,0.4783,15.1479,4,10,5.6,
9,128,0.1,0.001,9.5608,12.8511,0.4772,15.1184,6,12,9.4,
10,128,0.1,0.0005,9.5457,12.8526,0.4771,15.0643,8,14,11.1,
