trial,units,dropout,learning_rate,val_MAE,val_RMSE,val_R2,val_MAPE,epoch_terbaik,jumlah_epoch,waktu_detik,keterangan
5,128,0.38969,0.00139049,9.0844,12.0085,0.5735,13.9349,10,16,12.4,<== TERBAIK Optuna TPE
10,128,0.379827,0.00136725,9.2267,12.0642,0.5696,14.008,4,10,7.1,
14,128,0.355767,0.00151103,9.1662,12.0776,0.5686,13.9425,7,13,9.2,
11,128,0.397166,0.00124471,9.2049,12.1465,0.5637,13.8279,8,14,10.5,
12,128,0.343092,0.00123212,9.2616,12.169,0.5621,13.9404,8,14,11.6,
15,128,0.282155,0.00106816,9.2636,12.1905,0.5605,14.1554,9,15,11.2,
4,64,0.277724,0.00032764,9.3471,12.2083,0.5592,14.1742,28,34,14.3,
13,128,0.315514,0.00126035,9.2809,12.2281,0.5578,14.1844,9,15,12.3,
8,96,0.38185,0.00163824,9.19,12.2489,0.5563,13.7633,7,13,7.6,
2,32,0.191273,0.00081184,9.3284,12.2711,0.5547,14.4242,26,32,9.2,
7,64,0.193513,0.00080466,9.4481,12.2863,0.5536,14.3159,8,14,7.7,
0,64,0.146806,0.00040332,9.4585,12.2967,0.5528,14.3989,10,16,7.0,
9,64,0.113568,0.00055611,9.4369,12.3129,0.5516,14.3122,10,16,7.3,
6,96,0.136611,0.00076754,9.3545,12.3181,0.5513,14.2712,6,12,8.5,
3,96,0.187643,0.00060113,9.3794,12.3479,0.5491,14.3325,10,16,8.9,
1,64,0.106175,0.00188903,9.4765,12.4003,0.5453,14.3469,4,10,4.9,
