number,val_RMSE,params_batch_size,params_batchnorm,params_dropout,params_head_units,params_l2,params_lookback,params_lr,params_n_layers,params_static_units,params_units1,params_units2,user_attrs_recall_TS,user_attrs_test_R2,user_attrs_test_RMSE,duration
11,11.746495150274813,64,True,0.10357051295354469,16,0.0009394008801148033,30,0.0029927150428202946,1,16,128,,0.2602739726027397,0.630976676940918,13.071105750547357,0 days 00:01:19.966168
23,11.78562040745721,32,False,0.26850501590285286,16,1.8141707277330932e-05,7,0.0007330434238976901,2,32,32,48.0,0.0136986301369863,0.6410610675811768,12.89127069879041,0 days 00:01:10.732461
21,11.81231011132097,32,False,0.2652393210701423,16,1.3248351890999076e-05,7,0.0010467933068391965,2,32,32,48.0,0.0410958904109589,0.6463429927825928,12.796068326795673,0 days 00:00:52.488370
22,11.8137949077369,32,False,0.2853741298271326,16,1.1738653991898829e-05,7,0.0010108560363890247,2,32,32,48.0,0.0821917808219178,0.6336279511451721,13.024066655843688,0 days 00:00:56.282775
19,11.833268572849494,32,False,0.29717246991627316,16,1.238088348479673e-05,7,0.000978106622930542,2,32,32,48.0,0.0136986301369863,0.6466489434242249,12.790532330014894,0 days 00:00:51.499503
18,11.836133455473593,32,False,0.2338966025350109,16,7.904805314839799e-05,7,0.0029951166412500022,2,16,32,48.0,0.0821917808219178,0.6302428245544434,13.084097351962228,0 days 00:00:47.459974
20,11.888658879829023,32,False,0.3038371223995567,64,1.2782392945756702e-05,7,0.0006589788655456528,2,32,32,48.0,0.0547945205479452,0.6412086486816406,12.888620227629888,0 days 00:01:03.279309
10,11.893100796580224,64,True,0.11161755998835499,16,0.0007573772188483911,30,0.0028442338441034957,1,16,128,,0.0821917808219178,0.6244169473648071,13.186771029170911,0 days 00:01:28.063007
8,11.904355036004352,64,True,0.17956071030451765,16,5.394720267647737e-06,30,0.0028192384474212654,1,16,128,,0.0684931506849315,0.6391845345497131,12.924924183960725,0 days 00:01:30.729754
24,11.954218955250825,32,False,0.2619171591322585,16,6.316490224812812e-05,7,0.000656921233605955,2,32,32,32.0,0.0821917808219178,0.6311384439468384,13.068240715768647,0 days 00:01:10.904001
6,11.97500614174066,64,True,0.2536279174897843,32,4.780654141328926e-06,21,0.0013252385026983253,2,8,64,64.0,0.1506849315068493,0.6214872598648071,13.238101439100475,0 days 00:01:48.717294
0,12.015081465274694,64,False,0.19127267288786132,16,3.752055855124284e-05,14,0.0008110848199986004,1,16,64,,0.0547945205479452,0.6382064819335938,12.942429639961407,0 days 00:00:37.399875
5,12.051308613865992,32,True,0.1854521483132403,32,1.2902113024567156e-06,30,0.0012209154476867897,2,16,32,16.0,0.0547945205479452,0.6205263137817383,13.254894000550149,0 days 00:01:52.498832
7,12.064590193945733,32,False,0.2926094938462864,16,1.7882156647879496e-06,21,0.00043526121378702535,2,32,32,48.0,0.0410958904109589,0.6355802416801453,12.989319742317688,0 days 00:02:23.125181
1,12.082670908342115,32,False,0.13661147045343366,32,3.058656666978529e-05,14,0.00032472055144502877,1,8,128,,0.1506849315068493,0.6272249817848206,13.137381971066798,0 days 00:01:05.681623
9,12.156964827753768,64,False,0.38908599312677594,64,0.00036226665947286665,30,0.0005909764117566273,1,8,128,,0.0547945205479452,0.6509483456611633,12.712480579162587,0 days 00:02:00.771896
4,12.198402575363096,128,True,0.34110162306973435,64,3.6283583803549183e-06,7,0.0023425035256627222,2,32,96,32.0,0.0410958904109589,0.6339640617370605,13.01809079190228,0 days 00:00:38.450531
2,12.215295327637651,128,True,0.18428035290621425,32,4.247058562261871e-05,21,0.00041499749925659886,1,32,64,,0.0684931506849315,0.6280767917633057,13.1223635977518,0 days 00:00:32.903991
15,12.223654306686482,128,True,0.22510442047695986,16,0.00016183954883219434,30,0.0015224705096927294,1,16,128,,0.1232876712328767,0.6193695068359375,13.275083012150704,0 days 00:02:12.479368
14,12.239443843398405,64,True,0.15053380154950366,16,0.000981350763896829,7,0.002795059817784863,1,16,128,,0.1095890410958904,0.6335712671279907,13.025073593429628,0 days 00:00:35.537710
3,12.413042260625012,64,True,0.36616382277289805,32,2.6100256506134754e-05,14,0.00039510770655765316,1,8,96,,0.0136986301369863,0.6008142232894897,13.594804534348716,0 days 00:00:59.369505
13,12.424142383474353,64,True,0.10563870798844488,16,0.00022362429102762606,30,0.0017398825341979462,1,16,128,,0.0958904109589041,0.6083884239196777,13.465212611897138,0 days 00:01:19.740056
17,12.474202505547762,64,True,0.10011710007074097,16,0.0001241516261832221,30,0.0020136712322574267,1,16,96,,0.0958904109589041,0.6197922825813293,13.267707939753926,0 days 00:01:26.271654
12,12.565187688625691,64,True,0.1100757654803417,16,0.0009464788475109303,30,0.0020525371235880947,1,16,128,,0.2328767123287671,0.6107125282287598,13.42519649312092,0 days 00:01:32.124249
16,12.688536653308125,64,True,0.1446857182298677,64,0.0004070619753196803,30,0.0009651904559853645,1,16,128,,0.0547945205479452,0.6176725625991821,13.304642198432857,0 days 00:02:35.126367
