n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,val_RMSE,max_samples
250,24.0,15,1,0.9,True,11.428839752301933,0.5570608083604103
200,,14,3,0.9,True,11.430820169804392,0.513313511641554
250,24.0,15,1,0.9,True,11.4404653122273,0.5077973998292282
250,24.0,15,1,0.9,True,11.44638046860912,0.5164185754435987
200,,14,3,0.7,True,11.455689649126652,0.6082708396815966
200,24.0,9,2,1.0,True,11.45626682740274,0.5935493329088078
200,24.0,17,2,0.7,True,11.458691973030348,0.5091439283444843
250,24.0,15,1,0.9,True,11.464278330393249,0.5046230195969604
200,24.0,11,1,0.5,True,11.46690535808352,0.5673698021685759
250,24.0,16,1,0.9,True,11.468422637801115,0.5225381126688592
300,20.0,13,1,0.9,True,11.47218740951926,0.6523068845866853
300,32.0,13,3,0.9,True,11.473698325769327,0.5704523596088935
300,,17,3,0.9,True,11.4783056731493,0.5622754427964219
300,8.0,10,2,0.9,True,11.487861400670507,0.5741609199833482
150,12.0,18,7,0.9,True,11.488792887716485,0.7153559693799993
150,20.0,12,2,0.5,True,11.502270834544891,0.9077307142274171
200,,9,3,0.9,True,11.509462765970122,0.8256139655211495
200,24.0,13,2,0.9,True,11.516187544098885,0.9906565433791467
150,12.0,20,10,1.0,True,11.606030677476463,0.7513395116144308
350,32.0,7,6,sqrt,True,11.694258775408233,0.6448757264568841
350,16.0,7,4,0.5,False,11.701481295559155,
250,16.0,11,6,log2,False,11.760649182833827,
250,12.0,3,1,sqrt,False,11.761228660586184,
350,20.0,2,10,sqrt,False,11.780550973698595,
100,,17,5,log2,True,11.796826486359812,0.7448218589278526
150,,14,5,log2,True,11.79704129248485,0.6766540670751147
100,8.0,15,4,sqrt,True,11.905797833148386,0.6289708138575778
250,24.0,20,2,0.7,False,11.92845324140403,
350,20.0,19,4,0.9,False,13.09095666142946,
400,16.0,6,8,1.0,False,15.446891708485147,
