Model,Jenis_Model,MAE,RMSE,R2,MAPE,MAE_PM25_lebih_100,RMSE_PM25_lebih_100,Recall_Tidak_Sehat,Jumlah_Aktual_PM25_lebih_100,Jumlah_Prediksi_PM25_lebih_100,Catatan
Random Forest Grid Search,Random Forest (eksperimen awal/lanjutan),8.784,12.2914,0.6725,17.8035,,,0.0137,,,Section pengembangan lanjutan (Optuna & Grid Search)
Random Forest Optuna,Random Forest (eksperimen awal/lanjutan),8.7837,12.2732,0.6734,17.7734,,,0.0274,,,Section pengembangan lanjutan (Optuna & Grid Search)
Random Forest Manual Tuning,Random Forest (eksperimen awal/lanjutan),8.7422,12.2304,0.6757,17.6214,,,0.0274,,,Section pengembangan lanjutan (Optuna & Grid Search)
Random Forest Optuna + Bobot PM2.5 Tinggi,Random Forest (eksperimen awal/lanjutan),8.9503,12.4972,0.6614,18.3081,,,0.0274,,,Section pengembangan lanjutan (Optuna & Grid Search)
Random Forest Awal,Random Forest (eksperimen awal/lanjutan),8.8795,12.3788,0.6678,17.8427,,,0.0274,,,Section pengembangan lanjutan (Optuna & Grid Search)
Random Forest Optuna + Log Target,Random Forest (eksperimen awal/lanjutan),8.7487,12.2822,0.673,16.293,,,0.0137,,,Section pengembangan lanjutan (Optuna & Grid Search)
Baseline Persistence (Lag-1),Random Forest (eksperimen awal/lanjutan),10.1893,14.1752,0.5644,18.012,,,0.2466,,,Section pengembangan lanjutan (Optuna & Grid Search)
Baseline Mean,Random Forest (eksperimen awal/lanjutan),17.2956,21.5834,-0.0099,35.4756,,,0.0,,,Section pengembangan lanjutan (Optuna & Grid Search)
Random Forest + Lag/Rolling,Random Forest (Perbaikan),8.8839,12.319,0.6722,17.7956,18.8893,21.5495,0.0137,73.0,10.0,Section perbaikan RF (lag/rolling + weighted)
Random Forest + Lag/Rolling + Weighted High PM2.5,Random Forest (Perbaikan),9.0425,12.4991,0.6626,18.388,17.5901,20.4616,0.0411,73.0,15.0,Section perbaikan RF (lag/rolling + weighted)
LSTM B (lebih besar 96-48 dp0.2),LSTM (eksperimen awal),11.3283,15.4702,0.4855,23.2358,,,0.0685,,,Section LSTM awal (A/B/C varian sebelumnya)
LSTM C (bidirectional 48-24),LSTM (eksperimen awal),10.5587,14.4377,0.5519,20.6501,,,0.0548,,,Section LSTM awal (A/B/C varian sebelumnya)
LSTM A (baseline 64-32 dp0.1),LSTM (eksperimen awal),10.4329,14.3478,0.5575,20.6592,,,0.0411,,,Section LSTM awal (A/B/C varian sebelumnya)
LSTM Perbaikan B_LSTM128_Dropout0.3_Dense64 (L7),LSTM (Perbaikan),9.3741,13.1544,0.6263,18.0419,17.994,21.2683,0.0822,73.0,22.0,Section perbaikan LSTM (lookback/arsitektur/weighted)
LSTM Perbaikan B_LSTM128_Dropout0.3_Dense64 (L14),LSTM (Perbaikan),9.4899,13.1871,0.6262,18.5207,20.0677,22.6727,0.0411,73.0,12.0,Section perbaikan LSTM (lookback/arsitektur/weighted)
LSTM Perbaikan B_LSTM128_Dropout0.3_Dense64 (L30),LSTM (Perbaikan),9.7256,13.5573,0.6088,19.1662,17.5503,20.932,0.0972,72.0,30.0,Section perbaikan LSTM (lookback/arsitektur/weighted)
LSTM Perbaikan B_LSTM128_Dropout0.3_Dense64 (L7) + Weighted,LSTM (Perbaikan),9.7561,13.6384,0.5983,18.7967,15.908,19.666,0.1918,73.0,50.0,Section perbaikan LSTM (lookback/arsitektur/weighted)
LSTM Perbaikan A_LSTM64_Dropout0.2_Dense32 (L14),LSTM (Perbaikan),9.7375,13.5623,0.6046,19.2336,18.7604,21.7649,0.0548,73.0,20.0,Section perbaikan LSTM (lookback/arsitektur/weighted)
LSTM Perbaikan C_LSTM64+LSTM32_Dropout0.2_Dense32 (L14),LSTM (Perbaikan),10.7311,14.5161,0.547,21.9567,22.1283,24.4662,0.0137,73.0,4.0,Section perbaikan LSTM (lookback/arsitektur/weighted)
