tanggal,station,ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
2024-07-21,bundaran hi,84.375,83.72407,0.6509323,0.6509323,Sedang,Sedang
2024-07-22,bundaran hi,81.791664,82.08908,-0.2974167,0.2974167,Sedang,Sedang
2024-07-23,bundaran hi,90.0,84.03313,5.966873,5.966873,Sedang,Sedang
2024-07-24,bundaran hi,99.875,89.25799,10.617012,10.617012,Sedang,Sedang
2024-07-25,bundaran hi,84.166664,89.80664,-5.6399765,5.6399765,Sedang,Sedang
2024-07-26,bundaran hi,82.916664,80.03166,2.8850021,2.8850021,Sedang,Sedang
2024-07-27,bundaran hi,94.708336,85.847084,8.861252,8.861252,Sedang,Sedang
2024-07-28,bundaran hi,98.208336,90.49567,7.7126694,7.7126694,Sedang,Sedang
2024-07-29,bundaran hi,93.958336,91.34417,2.6141663,2.6141663,Sedang,Sedang
2024-07-30,bundaran hi,94.958336,88.04187,6.9164658,6.9164658,Sedang,Sedang
2024-07-31,bundaran hi,102.0,95.55163,6.448372,6.448372,Tidak Sehat,Sedang
2024-08-01,bundaran hi,102.25,94.01489,8.235107,8.235107,Tidak Sehat,Sedang
2024-08-02,bundaran hi,90.5,92.3541,-1.8541031,1.8541031,Sedang,Sedang
2024-08-03,bundaran hi,66.416664,82.23855,-15.821884,15.821884,Sedang,Sedang
2024-08-04,bundaran hi,72.208336,69.993286,2.2150497,2.2150497,Sedang,Sedang
2024-08-05,bundaran hi,78.0,79.20605,-1.206047,1.206047,Sedang,Sedang
2024-08-06,bundaran hi,75.0,79.04731,-4.04731,4.04731,Sedang,Sedang
2024-08-07,bundaran hi,85.708336,81.3772,4.3311386,4.3311386,Sedang,Sedang
2024-08-08,bundaran hi,97.166664,86.721855,10.444809,10.444809,Sedang,Sedang
2024-08-09,bundaran hi,93.541664,89.51067,4.0309906,4.0309906,Sedang,Sedang
2024-08-10,bundaran hi,81.375,82.97274,-1.5977402,1.5977402,Sedang,Sedang
2024-08-11,bundaran hi,77.041664,78.296936,-1.2552719,1.2552719,Sedang,Sedang
2024-08-12,bundaran hi,77.791664,78.816154,-1.0244904,1.0244904,Sedang,Sedang
2024-08-13,bundaran hi,88.458336,81.951645,6.506691,6.506691,Sedang,Sedang
2024-08-14,bundaran hi,92.208336,86.29657,5.911766,5.911766,Sedang,Sedang
2024-08-15,bundaran hi,91.208336,91.91543,-0.7070923,0.7070923,Sedang,Sedang
2024-08-16,bundaran hi,92.0,91.91157,0.08843231,0.08843231,Sedang,Sedang
2024-08-17,bundaran hi,92.25,90.93579,1.314209,1.314209,Sedang,Sedang
2024-08-18,bundaran hi,90.166664,83.53002,6.6366425,6.6366425,Sedang,Sedang
2024-08-19,bundaran hi,86.583336,86.68655,-0.10321045,0.10321045,Sedang,Sedang
2024-08-20,bundaran hi,90.708336,86.860435,3.8479004,3.8479004,Sedang,Sedang
2024-08-21,bundaran hi,96.666664,93.47842,3.1882477,3.1882477,Sedang,Sedang
2024-08-22,bundaran hi,89.125,92.400375,-3.2753754,3.2753754,Sedang,Sedang
2024-08-23,bundaran hi,77.291664,83.57257,-6.2809067,6.2809067,Sedang,Sedang
2024-08-24,bundaran hi,92.916664,78.62062,14.296043,14.296043,Sedang,Sedang
2024-08-25,bundaran hi,94.166664,93.88124,0.28542328,0.28542328,Sedang,Sedang
2024-08-26,bundaran hi,78.583336,83.9618,-5.3784637,5.3784637,Sedang,Sedang
2024-08-27,bundaran hi,102.041664,82.47127,19.570396,19.570396,Tidak Sehat,Sedang
2024-08-28,bundaran hi,90.833336,94.46716,-3.6338272,3.6338272,Sedang,Sedang
2024-08-29,bundaran hi,93.583336,89.069824,4.5135117,4.5135117,Sedang,Sedang
2024-08-30,bundaran hi,99.5,89.82842,9.671577,9.671577,Sedang,Sedang
2024-08-31,bundaran hi,77.875,93.710686,-15.835686,15.835686,Sedang,Sedang
2024-09-01,bundaran hi,72.5,74.62977,-2.1297684,2.1297684,Sedang,Sedang
2024-09-02,bundaran hi,70.625,76.63829,-6.0132904,6.0132904,Sedang,Sedang
2024-09-03,bundaran hi,78.5,79.25079,-0.75079346,0.75079346,Sedang,Sedang
2024-09-04,bundaran hi,82.708336,82.67459,0.033744812,0.033744812,Sedang,Sedang
2024-09-05,bundaran hi,72.583336,80.092834,-7.5094986,7.5094986,Sedang,Sedang
2024-09-06,bundaran hi,84.041664,76.61625,7.425415,7.425415,Sedang,Sedang
2024-09-07,bundaran hi,77.583336,79.58577,-2.0024338,2.0024338,Sedang,Sedang
2024-09-08,bundaran hi,80.958336,71.94281,9.015526,9.015526,Sedang,Sedang
2024-09-09,bundaran hi,70.916664,73.7641,-2.847435,2.847435,Sedang,Sedang
2024-09-10,bundaran hi,68.208336,71.224144,-3.015808,3.015808,Sedang,Sedang
2024-09-11,bundaran hi,61.666668,76.74369,-15.077023,15.077023,Sedang,Sedang
2024-09-12,bundaran hi,80.541664,71.77497,8.766693,8.766693,Sedang,Sedang
2024-09-13,bundaran hi,77.958336,81.29194,-3.333603,3.333603,Sedang,Sedang
2024-09-14,bundaran hi,83.458336,78.71244,4.7458954,4.7458954,Sedang,Sedang
2024-09-15,bundaran hi,85.708336,81.37014,4.338196,4.338196,Sedang,Sedang
2024-09-16,bundaran hi,85.041664,81.40954,3.6321259,3.6321259,Sedang,Sedang
2024-09-17,bundaran hi,79.833336,81.49994,-1.6666031,1.6666031,Sedang,Sedang
2024-09-18,bundaran hi,75.875,83.130745,-7.255745,7.255745,Sedang,Sedang
2024-09-19,bundaran hi,74.0,81.90712,-7.9071198,7.9071198,Sedang,Sedang
2024-09-20,bundaran hi,81.208336,79.536095,1.6722412,1.6722412,Sedang,Sedang
2024-09-21,bundaran hi,90.416664,80.617,9.799667,9.799667,Sedang,Sedang
2024-09-22,bundaran hi,74.0,87.77756,-13.777557,13.777557,Sedang,Sedang
2024-09-23,bundaran hi,83.958336,76.57762,7.3807144,7.3807144,Sedang,Sedang
2024-09-24,bundaran hi,76.75,82.54537,-5.795372,5.795372,Sedang,Sedang
2024-09-25,bundaran hi,85.0,77.48041,7.5195923,7.5195923,Sedang,Sedang
2024-09-26,bundaran hi,72.708336,77.536674,-4.8283386,4.8283386,Sedang,Sedang
2024-09-27,bundaran hi,72.0,72.77162,-0.7716217,0.7716217,Sedang,Sedang
2024-09-28,bundaran hi,81.708336,70.28661,11.421722,11.421722,Sedang,Sedang
2024-09-29,bundaran hi,74.0,77.42978,-3.429779,3.429779,Sedang,Sedang
2024-09-30,bundaran hi,72.708336,77.11155,-4.4032135,4.4032135,Sedang,Sedang
2024-10-01,bundaran hi,86.125,78.09922,8.02578,8.02578,Sedang,Sedang
2024-10-02,bundaran hi,87.625,86.31966,1.3053436,1.3053436,Sedang,Sedang
2024-10-03,bundaran hi,69.791664,87.231094,-17.43943,17.43943,Sedang,Sedang
2024-10-04,bundaran hi,84.416664,79.31116,5.105507,5.105507,Sedang,Sedang
2024-10-05,bundaran hi,79.625,80.52336,-0.8983612,0.8983612,Sedang,Sedang
2024-10-06,bundaran hi,75.625,80.23162,-4.606621,4.606621,Sedang,Sedang
