ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
82.620316,84.33096,-1.7106476,1.7106476,Sedang,Sedang
80.92914,82.32349,-1.3943481,1.3943481,Sedang,Sedang
87.56307,84.876625,2.6864471,2.6864471,Sedang,Sedang
98.09863,87.90936,10.18927,10.18927,Sedang,Sedang
84.55747,88.507965,-3.9504929,3.9504929,Sedang,Sedang
80.849556,77.66315,3.186409,3.186409,Sedang,Sedang
93.19194,84.25757,8.934372,8.934372,Sedang,Sedang
96.492905,88.46439,8.028511,8.028511,Sedang,Sedang
91.43185,90.065674,1.3661728,1.3661728,Sedang,Sedang
87.31772,85.68389,1.6338272,1.6338272,Sedang,Sedang
100.99712,93.314186,7.6829376,7.6829376,Tidak Sehat,Sedang
99.42413,92.42894,6.9951935,6.9951935,Sedang,Sedang
90.642265,88.89261,1.7496567,1.7496567,Sedang,Sedang
65.91255,81.31414,-15.401588,15.401588,Sedang,Sedang
72.989136,71.05098,1.9381561,1.9381561,Sedang,Sedang
77.72939,78.90118,-1.1717834,1.1717834,Sedang,Sedang
74.666664,79.19012,-4.5234528,4.5234528,Sedang,Sedang
83.87947,80.95642,2.92305,2.92305,Sedang,Sedang
95.437744,86.134796,9.302948,9.302948,Sedang,Sedang
94.04441,87.45694,6.587471,6.587471,Sedang,Sedang
80.71154,77.96953,2.742012,2.742012,Sedang,Sedang
77.31482,77.17425,0.1405716,0.1405716,Sedang,Sedang
78.04878,78.39214,-0.3433609,0.3433609,Sedang,Sedang
85.97228,80.69573,5.2765503,5.2765503,Sedang,Sedang
93.01224,82.77999,10.232246,10.232246,Sedang,Sedang
91.5565,90.68192,0.8745804,0.8745804,Sedang,Sedang
92.05825,90.327255,1.7309952,1.7309952,Sedang,Sedang
93.523575,90.69168,2.831894,2.831894,Sedang,Sedang
90.02398,82.60937,7.414612,7.414612,Sedang,Sedang
86.69395,85.7924,0.9015503,0.9015503,Sedang,Sedang
87.662285,86.307465,1.3548203,1.3548203,Sedang,Sedang
98.088844,91.61027,6.4785767,6.4785767,Sedang,Sedang
90.448616,90.3735,0.07511902,0.07511902,Sedang,Sedang
77.27878,81.51524,-4.2364655,4.2364655,Sedang,Sedang
93.24184,78.765564,14.476273,14.476273,Sedang,Sedang
92.812096,93.53016,-0.71806335,0.71806335,Sedang,Sedang
78.2488,82.293205,-4.044403,4.044403,Sedang,Sedang
104.69396,82.87736,21.816605,21.816605,Tidak Sehat,Sedang
89.52288,93.79141,-4.268532,4.268532,Sedang,Sedang
93.83984,86.661705,7.1781387,7.1781387,Sedang,Sedang
100.348564,89.778915,10.569649,10.569649,Tidak Sehat,Sedang
77.986374,93.803375,-15.817001,15.817001,Sedang,Sedang
72.47109,75.00201,-2.5309143,2.5309143,Sedang,Sedang
71.48417,78.81779,-7.333618,7.333618,Sedang,Sedang
79.12621,81.15309,-2.0268784,2.0268784,Sedang,Sedang
83.175224,83.54655,-0.37132263,0.37132263,Sedang,Sedang
72.93943,78.8592,-5.9197693,5.9197693,Sedang,Sedang
79.582344,78.06183,1.5205154,1.5205154,Sedang,Sedang
75.62459,77.21736,-1.5927734,1.5927734,Sedang,Sedang
80.00017,69.14531,10.854858,10.854858,Sedang,Sedang
69.633415,70.78677,-1.1533585,1.1533585,Sedang,Sedang
68.870384,68.396645,0.47373962,0.47373962,Sedang,Sedang
