tanggal,station,ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
2024-07-21,bundaran hi,82.620316,84.33097,-1.7106552,1.7106552,Sedang,Sedang
2024-07-22,bundaran hi,80.92914,82.32348,-1.3943405,1.3943405,Sedang,Sedang
2024-07-23,bundaran hi,87.56307,84.87662,2.6864548,2.6864548,Sedang,Sedang
2024-07-24,bundaran hi,98.09863,87.90936,10.18927,10.18927,Sedang,Sedang
2024-07-25,bundaran hi,84.55747,88.507965,-3.9504929,3.9504929,Sedang,Sedang
2024-07-26,bundaran hi,80.849556,77.66315,3.186409,3.186409,Sedang,Sedang
2024-07-27,bundaran hi,93.19194,84.25757,8.934372,8.934372,Sedang,Sedang
2024-07-28,bundaran hi,96.492905,88.46439,8.028511,8.028511,Sedang,Sedang
2024-07-29,bundaran hi,91.43185,90.065674,1.3661728,1.3661728,Sedang,Sedang
2024-07-30,bundaran hi,87.31772,85.68389,1.6338272,1.6338272,Sedang,Sedang
2024-07-31,bundaran hi,100.99712,93.314186,7.6829376,7.6829376,Tidak Sehat,Sedang
2024-08-01,bundaran hi,99.42413,92.42894,6.9951935,6.9951935,Sedang,Sedang
2024-08-02,bundaran hi,90.642265,88.89262,1.749649,1.749649,Sedang,Sedang
2024-08-03,bundaran hi,65.91255,81.31414,-15.401588,15.401588,Sedang,Sedang
2024-08-04,bundaran hi,72.989136,71.05098,1.9381561,1.9381561,Sedang,Sedang
2024-08-05,bundaran hi,77.72939,78.90118,-1.1717834,1.1717834,Sedang,Sedang
2024-08-06,bundaran hi,74.666664,79.19011,-4.523445,4.523445,Sedang,Sedang
2024-08-07,bundaran hi,83.87947,80.95642,2.92305,2.92305,Sedang,Sedang
2024-08-08,bundaran hi,95.437744,86.134796,9.302948,9.302948,Sedang,Sedang
2024-08-09,bundaran hi,94.04441,87.45694,6.587471,6.587471,Sedang,Sedang
2024-08-10,bundaran hi,80.71154,77.96952,2.7420197,2.7420197,Sedang,Sedang
2024-08-11,bundaran hi,77.31482,77.17425,0.1405716,0.1405716,Sedang,Sedang
2024-08-12,bundaran hi,78.04878,78.392136,-0.34335327,0.34335327,Sedang,Sedang
2024-08-13,bundaran hi,85.97228,80.69573,5.2765503,5.2765503,Sedang,Sedang
2024-08-14,bundaran hi,93.01224,82.77999,10.232246,10.232246,Sedang,Sedang
2024-08-15,bundaran hi,91.5565,90.68192,0.8745804,0.8745804,Sedang,Sedang
2024-08-16,bundaran hi,92.05825,90.32725,1.7310028,1.7310028,Sedang,Sedang
2024-08-17,bundaran hi,93.523575,90.69169,2.8318863,2.8318863,Sedang,Sedang
