Polutan,Total Data,Batas Bawah,Batas Atas,Outlier Bawah,Outlier Atas,Total Outlier,Pct Outlier (%)
tempmax,8768,28.8,36.8,228,39,267,3.05
tempmin,8768,22.15,27.35,25,22,47,0.54
temp,8768,25.6,31.2,54,2,56,0.64
feelslikemax,8768,32.8,44.0,140,12,152,1.73
feelslikemin,8768,22.15,27.35,25,177,202,2.3
feelslike,8768,26.55,36.55,83,35,118,1.35
dew,8768,21.417,26.439,336,0,336,3.83
humidity,8768,58.45,97.25,35,0,35,0.4
precip,8768,-5.337,8.896,0,1458,1458,16.63
precipprob,8768,-150.0,250.0,0,0,0,0.0
precipcover,8768,-18.75,31.25,0,91,91,1.04
snow,8768,0.0,0.0,0,0,0,0.0
snowdepth,8768,0.0,0.0,0,0,0,0.0
windgust,8768,4.75,46.75,0,293,293,3.34
windspeed,8768,5.45,34.65,0,145,145,1.65
winddir,8768,-235.7,585.1,0,0,0,0.0
sealevelpressure,8768,1005.65,1013.25,1,16,17,0.19
cloudcover,8768,25.6,74.4,56,60,116,1.32
visibility,8768,3.6,8.4,352,20,372,4.24
solarradiation,8768,122.587,329.488,316,8,324,3.7
solarenergy,8768,10.487,28.588,300,8,308,3.51
uvindex,8768,4.0,12.0,58,0,58,0.66
severerisk,8696,-20.0,60.0,0,0,0,0.0
moonphase,8768,-0.5,1.5,0,0,0,0.0
